method,L_rel_err,S_rel_err,precision,recall,f1,runtime_per_sample_s,total_time_s,n_samples,experiment,sigma,sparsity,threshold
Truncated SVD,0.3588586866855621,0.5663210940361023,0.943006968881529,0.8975504038878308,0.9197173620457604,7.184847180421154e-05,0.0215545415412634,300,exp1_main,0.05,0.05,0.4
Classical RPCA,0.1346468261877695,0.1833358277877171,0.9986775985189104,0.9919222433834636,0.9952884583703996,0.0138830538862384,4.164916165871546,300,exp1_main,0.05,0.05,0.2
Deep-unfolded RPCA,0.1548365561167399,0.2022743866840998,0.985237906946092,0.981808629408288,0.9835202789381928,0.0007493908369603,0.2248172510880977,300,exp1_main,0.05,0.05,0.3
Truncated SVD,0.3590634135405222,0.5357507554690043,0.9499864093503668,0.902284755389183,0.9255213505461768,0.0001368450031926,0.041053500957787,300,exp2_noise,0.01,0.05,0.4
Classical RPCA,0.0505604761838913,0.0827735487620035,0.999935371291928,0.9985800955208468,0.9992572738721864,0.0139025374990887,4.170761249726638,300,exp2_noise,0.01,0.05,0.2
Deep-unfolded RPCA,0.1239021589358647,0.1631488066911697,0.9912042426594232,0.9891570930682844,0.990179609768704,0.0007392423631002,0.2217727089300751,300,exp2_noise,0.01,0.05,0.3
Truncated SVD,0.3595860163370768,0.5655281988779703,0.9393528254528186,0.9005007478701957,0.9195165681652168,7.040263619273901e-05,0.0211207908578217,300,exp2_noise,0.05,0.05,0.4
Classical RPCA,0.1337448465824127,0.1811583930253982,0.9984947643979056,0.9921961370878584,0.995335486185863,0.0141193502799918,4.235805083997548,300,exp2_noise,0.05,0.05,0.2
Deep-unfolded RPCA,0.1542190351088841,0.1976449080308278,0.9855866431878954,0.982766469402354,0.9841745359817649,0.0007424508368906,0.2227352510672062,300,exp2_noise,0.05,0.05,0.3
Truncated SVD,0.3863489917914072,0.6613153060277303,0.8758788356659439,0.8826061047474012,0.8792296022689796,7.170944474637508e-05,0.0215128334239125,300,exp2_noise,0.1,0.05,0.4
Classical RPCA,0.2798024638493855,0.3257290911674499,0.9605610896523684,0.9385552539230616,0.949430676490288,0.0141050863902394,4.231525917071849,300,exp2_noise,0.1,0.05,0.2
Deep-unfolded RPCA,0.2507249319553375,0.3209836554527283,0.9365879196387672,0.9476262994107132,0.942074776197999,0.000752163749809,0.2256491249427199,300,exp2_noise,0.1,0.05,0.3
Truncated SVD,0.2291110642751058,0.6015578373273214,0.9826370981605639,0.9235740830505736,0.9521905713809762,0.00012797694265221556,0.03839308279566467,300,exp3_sparsity,0.05,0.02,0.4
Classical RPCA,0.10688557922840118,0.16385072847207388,0.9980607627666451,0.9978994991113266,0.9979801244243355,0.014123977504204958,4.237193251261488,300,exp3_sparsity,0.05,0.02,0.2
Deep-unfolded RPCA,0.11554292400677998,0.21276027143001555,0.977696351760395,0.9915979964453062,0.9845981068506338,0.0007485793057518701,0.22457379172556102,300,exp3_sparsity,0.05,0.02,0.3
Truncated SVD,0.36723337093989056,0.5732466705640157,0.9391304347826087,0.8951833964234435,0.9166304674708458,7.112680313487848e-05,0.021338040940463543,300,exp3_sparsity,0.05,0.05,0.4
Classical RPCA,0.13814274549484254,0.18790698329607647,0.9978975032851511,0.9912544054301005,0.9945648615021937,0.014343156670220196,4.302947001066059,300,exp3_sparsity,0.05,0.05,0.2
Deep-unfolded RPCA,0.15906140168507893,0.20570027748743694,0.9824779339653481,0.9807466388199974,0.9816115230100925,0.0007916744503503045,0.23750233510509133,300,exp3_sparsity,0.05,0.05,0.3
Truncated SVD,0.5271244184176127,0.569260504245758,0.8496489985187093,0.861101138996769,0.8553367371748116,7.145096935952703e-05,0.02143529080785811,300,exp3_sparsity,0.05,0.1,0.4
Classical RPCA,0.233064919312795,0.28951414465904235,0.9978731432883949,0.9493489115890473,0.973006422263848,0.014141231389561047,4.242369416868314,300,exp3_sparsity,0.05,0.1,0.2
Deep-unfolded RPCA,0.2752903747558594,0.27612563570340476,0.9823815516479031,0.9426258934107895,0.9620932014256687,0.0007442413906877239,0.2232724172063172,300,exp3_sparsity,0.05,0.1,0.3
